CPRO,CMUN,DC,NOMBRE
44,245,1,Valdeltormo
44,246,4,Valderrobres
44,247,0,Valjunquera
44,249,9,"Vallecillo, El"
44,250,2,Veguillas de la Sierra
44,251,9,Villafranca del Campo
44,252,4,Villahermosa del Campo
44,256,1,Villanueva del Rebollar de la Sierra
44,257,7,Villar del Cobo
44,258,3,Villar del Salz
44,260,0,Villarluengo
44,261,7,Villarquemado
44,262,2,Villarroya de los Pinares
44,263,8,Villastar
44,264,3,Villel
44,265,6,Vinaceite
44,266,9,Visiedo
44,267,5,Vivel del Río Martín
44,268,1,"Zoma, La"
